case_id,bank_txn_id,ledger_id,true_status,predicted_status,true_exception_type,match_method,match_confidence,reason,amount_difference,timestamp_difference,merchant_similarity,reference_similarity,is_correct,error_classification
SYNTH-CASE-000131,SYNTH-BANK-000131,SYNTH-LEDGER-000131,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI647727', amount (₹791.67), and direction (CREDIT) matched exactly after normalization with timestamp diff of 14.0 mins.",0.0,14.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000136,SYNTH-BANK-000136,SYNTH-LEDGER-000136,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI756801', amount (₹283.99), and direction (CREDIT) matched exactly after normalization with timestamp diff of 10.0 mins.",0.0,10.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000151,SYNTH-BANK-000151,SYNTH-LEDGER-000151,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9495,Fuzzy candidate match (score: 0.950) with amount mismatch: Bank amount ₹674.97 vs ledger amount ₹661.47 (diff ₹13.50 / 2.04%).,13.5,2.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000158,SYNTH-BANK-000158,SYNTH-LEDGER-000158,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI988293', amount (₹1715.62), and direction (CREDIT) matched exactly after normalization with timestamp diff of 15.0 mins.",0.0,15.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000164,SYNTH-BANK-000164,SYNTH-LEDGER-000164,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9495,Fuzzy candidate match (score: 0.949) with amount mismatch: Bank amount ₹426.54 vs ledger amount ₹418.01 (diff ₹8.53 / 2.04%).,8.53,7.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000166,SYNTH-BANK-000166,SYNTH-LEDGER-000166,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9051,Fuzzy candidate match (score: 0.905) with amount mismatch: Bank amount ₹2862.04 vs ledger amount ₹2919.28 (diff ₹57.24 / 1.96%).,57.24,9.0,1.0,0.7778,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000167,SYNTH-BANK-000167,SYNTH-LEDGER-000167,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI217676', amount (₹1858.28), and direction (DEBIT) matched exactly after normalization with timestamp diff of 0.0 mins.",0.0,0.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000181,SYNTH-BANK-000181,SYNTH-LEDGER-000181,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI865430', amount (₹1392.72), and direction (CREDIT) matched exactly after normalization with timestamp diff of 4.0 mins.",0.0,4.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000196,SYNTH-BANK-000196,SYNTH-LEDGER-000196,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI631951', amount (₹1721.32), and direction (CREDIT) matched exactly after normalization with timestamp diff of 4.0 mins.",0.0,4.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000204,SYNTH-BANK-000204,SYNTH-LEDGER-000204,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI116968', amount (₹2501.80), and direction (CREDIT) matched exactly after normalization with timestamp diff of 3.0 mins.",0.0,3.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000207,SYNTH-BANK-000207,SYNTH-LEDGER-000207,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9496,Fuzzy candidate match (score: 0.950) with amount mismatch: Bank amount ₹526.02 vs ledger amount ₹536.54 (diff ₹10.52 / 1.96%).,10.52,3.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000208,SYNTH-BANK-000208,SYNTH-LEDGER-000208,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9495,Fuzzy candidate match (score: 0.950) with amount mismatch: Bank amount ₹6182.48 vs ledger amount ₹6058.83 (diff ₹123.65 / 2.04%).,123.65,5.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000212,SYNTH-BANK-000212,SYNTH-LEDGER-000212,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9496,Fuzzy candidate match (score: 0.950) with amount mismatch: Bank amount ₹753.47 vs ledger amount ₹768.54 (diff ₹15.07 / 1.96%).,15.07,4.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000216,SYNTH-BANK-000216,SYNTH-LEDGER-000216,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI446214', amount (₹1036.75), and direction (CREDIT) matched exactly after normalization with timestamp diff of 2.0 mins.",0.0,2.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000221,SYNTH-BANK-000221,SYNTH-LEDGER-000221,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI289460', amount (₹1692.56), and direction (CREDIT) matched exactly after normalization with timestamp diff of 13.0 mins.",0.0,13.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000224,SYNTH-BANK-000224,SYNTH-LEDGER-000224,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI876292', amount (₹683.74), and direction (CREDIT) matched exactly after normalization with timestamp diff of 2.0 mins.",0.0,2.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000227,SYNTH-BANK-000227,SYNTH-LEDGER-000227,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9496,Fuzzy candidate match (score: 0.950) with amount mismatch: Bank amount ₹3160.07 vs ledger amount ₹3223.27 (diff ₹63.20 / 1.96%).,63.2,12.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000228,SYNTH-BANK-000228,SYNTH-LEDGER-000228,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9496,Fuzzy candidate match (score: 0.950) with amount mismatch: Bank amount ₹3349.83 vs ledger amount ₹3416.83 (diff ₹67.00 / 1.96%).,67.0,9.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000237,SYNTH-BANK-000237,SYNTH-LEDGER-000237,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI521067', amount (₹1912.71), and direction (DEBIT) matched exactly after normalization with timestamp diff of 13.0 mins.",0.0,13.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000247,SYNTH-BANK-000247,SYNTH-LEDGER-000247,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9495,Fuzzy candidate match (score: 0.950) with amount mismatch: Bank amount ₹502.80 vs ledger amount ₹492.74 (diff ₹10.06 / 2.04%).,10.06,5.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000283,SYNTH-BANK-000283,SYNTH-LEDGER-000283,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI511070', amount (₹1159.69), and direction (CREDIT) matched exactly after normalization with timestamp diff of 2.0 mins.",0.0,2.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000284,SYNTH-BANK-000284,SYNTH-LEDGER-000284,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9495,Fuzzy candidate match (score: 0.949) with amount mismatch: Bank amount ₹5461.93 vs ledger amount ₹5352.69 (diff ₹109.24 / 2.04%).,109.24,9.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000286,SYNTH-BANK-000286,SYNTH-LEDGER-000286,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI344023', amount (₹248.56), and direction (CREDIT) matched exactly after normalization with timestamp diff of 3.0 mins.",0.0,3.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000303,SYNTH-BANK-000303,SYNTH-LEDGER-000303,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI314906', amount (₹650.33), and direction (CREDIT) matched exactly after normalization with timestamp diff of 5.0 mins.",0.0,5.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000305,SYNTH-BANK-000305,SYNTH-LEDGER-000305,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI887364', amount (₹2009.90), and direction (DEBIT) matched exactly after normalization with timestamp diff of 6.0 mins.",0.0,6.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000324,SYNTH-BANK-000324,SYNTH-LEDGER-000324,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9495,Fuzzy candidate match (score: 0.950) with amount mismatch: Bank amount ₹1354.95 vs ledger amount ₹1327.85 (diff ₹27.10 / 2.04%).,27.1,2.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000339,SYNTH-BANK-000339,SYNTH-LEDGER-000339,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9052,Fuzzy candidate match (score: 0.905) with amount mismatch: Bank amount ₹730.90 vs ledger amount ₹745.52 (diff ₹14.62 / 1.96%).,14.62,0.0,1.0,0.7778,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000361,SYNTH-BANK-000361,SYNTH-LEDGER-000361,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI217761', amount (₹223.17), and direction (CREDIT) matched exactly after normalization with timestamp diff of 12.0 mins.",0.0,12.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000362,SYNTH-BANK-000362,SYNTH-LEDGER-000362,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9495,Fuzzy candidate match (score: 0.950) with amount mismatch: Bank amount ₹1615.47 vs ledger amount ₹1583.16 (diff ₹32.31 / 2.04%).,32.31,2.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000366,SYNTH-BANK-000366,SYNTH-LEDGER-000366,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI768900', amount (₹730.25), and direction (CREDIT) matched exactly after normalization with timestamp diff of 7.0 mins.",0.0,7.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000370,SYNTH-BANK-000370,SYNTH-LEDGER-000370,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9496,Fuzzy candidate match (score: 0.950) with amount mismatch: Bank amount ₹834.08 vs ledger amount ₹850.76 (diff ₹16.68 / 1.96%).,16.68,8.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000386,SYNTH-BANK-000386,SYNTH-LEDGER-000386,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI774562', amount (₹437.75), and direction (CREDIT) matched exactly after normalization with timestamp diff of 2.0 mins.",0.0,2.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000392,SYNTH-BANK-000392,SYNTH-LEDGER-000392,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI578085', amount (₹2218.67), and direction (CREDIT) matched exactly after normalization with timestamp diff of 15.0 mins.",0.0,15.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000396,SYNTH-BANK-000396,,UNMATCHED_BANK,AMBIGUOUS,MISSING_LEDGER,AMBIGUOUS_LOW_CONFIDENCE,0.7934,Ambiguous match: Competing ledger candidates found with close scores: [SYNTH-LEDGER-001004 (score 0.793)]. Top candidate reference 'UPI676573' has similarity 0.56.,39.37,1464.0,1.0,0.5556,False,WRONG_EXCEPTION_TYPE
SYNTH-CASE-000400,SYNTH-BANK-000400,SYNTH-LEDGER-000400,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI739421', amount (₹1842.67), and direction (CREDIT) matched exactly after normalization with timestamp diff of 8.0 mins.",0.0,8.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000418,SYNTH-BANK-000418,SYNTH-LEDGER-000418,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.8606,Fuzzy candidate match (score: 0.861) with amount mismatch: Bank amount ₹1431.41 vs ledger amount ₹1460.04 (diff ₹28.63 / 1.96%).,28.63,14.0,1.0,0.6667,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000423,SYNTH-BANK-000423,SYNTH-LEDGER-000423,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI863372', amount (₹1583.44), and direction (DEBIT) matched exactly after normalization with timestamp diff of 4.0 mins.",0.0,4.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000430,SYNTH-BANK-000430,SYNTH-LEDGER-000430,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI189938', amount (₹710.81), and direction (CREDIT) matched exactly after normalization with timestamp diff of 4.0 mins.",0.0,4.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000432,SYNTH-BANK-000432,SYNTH-LEDGER-000432,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI606668', amount (₹753.96), and direction (CREDIT) matched exactly after normalization with timestamp diff of 2.0 mins.",0.0,2.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000435,SYNTH-BANK-000435,SYNTH-LEDGER-000435,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9497,Fuzzy candidate match (score: 0.950) with amount mismatch: Bank amount ₹1595.74 vs ledger amount ₹1627.65 (diff ₹31.91 / 1.96%).,31.91,2.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000436,SYNTH-BANK-000436,SYNTH-LEDGER-000436,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9495,Fuzzy candidate match (score: 0.950) with amount mismatch: Bank amount ₹1833.10 vs ledger amount ₹1796.44 (diff ₹36.66 / 2.04%).,36.66,3.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000440,SYNTH-BANK-000440,SYNTH-LEDGER-000440,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI738933', amount (₹876.88), and direction (DEBIT) matched exactly after normalization with timestamp diff of 1.0 mins.",0.0,1.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000442,SYNTH-BANK-000442,SYNTH-LEDGER-000442,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9495,Fuzzy candidate match (score: 0.950) with amount mismatch: Bank amount ₹1526.01 vs ledger amount ₹1495.49 (diff ₹30.52 / 2.04%).,30.52,1.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000452,SYNTH-BANK-000452,SYNTH-LEDGER-000452,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI862185', amount (₹1379.47), and direction (DEBIT) matched exactly after normalization with timestamp diff of 13.0 mins.",0.0,13.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000454,SYNTH-BANK-000454,SYNTH-LEDGER-000454,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9497,Fuzzy candidate match (score: 0.950) with amount mismatch: Bank amount ₹4118.74 vs ledger amount ₹4201.11 (diff ₹82.37 / 1.96%).,82.37,2.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000468,SYNTH-BANK-000468,SYNTH-LEDGER-000468,MATCH,DUPLICATE,NONE,DUPLICATE_MULTIPLE_BANK,1.0,"Duplicate bank transaction detected sharing reference 'UPI756717', amount ₹2811.67, and direction CREDIT with primary txn SYNTH-BANK-001618.",0.0,2.0,1.0,1.0,False,MISSED_MATCH
SYNTH-CASE-000478,SYNTH-BANK-000478,,UNMATCHED_BANK,AMBIGUOUS,MISSING_LEDGER,AMBIGUOUS_LOW_CONFIDENCE,0.8437,Ambiguous match: Competing ledger candidates found with close scores: [SYNTH-LEDGER-001897 (score 0.844)]. Top candidate reference 'UPI535460' has similarity 0.67.,26.06,1752.0,1.0,0.6667,False,WRONG_EXCEPTION_TYPE
SYNTH-CASE-000481,SYNTH-BANK-000481,SYNTH-LEDGER-000481,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9496,Fuzzy candidate match (score: 0.950) with amount mismatch: Bank amount ₹760.44 vs ledger amount ₹775.65 (diff ₹15.21 / 1.96%).,15.21,8.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000494,SYNTH-BANK-000494,SYNTH-LEDGER-000494,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9495,Fuzzy candidate match (score: 0.949) with amount mismatch: Bank amount ₹1779.16 vs ledger amount ₹1743.58 (diff ₹35.58 / 2.04%).,35.58,10.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000508,SYNTH-BANK-000508,SYNTH-LEDGER-000508,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI376096', amount (₹1283.32), and direction (CREDIT) matched exactly after normalization with timestamp diff of 0.0 mins.",0.0,0.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000510,SYNTH-BANK-000510,SYNTH-LEDGER-000510,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI331008', amount (₹2547.03), and direction (CREDIT) matched exactly after normalization with timestamp diff of 4.0 mins.",0.0,4.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000513,SYNTH-BANK-000513,,UNMATCHED_BANK,AMBIGUOUS,MISSING_LEDGER,AMBIGUOUS_LOW_CONFIDENCE,0.7469,Ambiguous match: Competing ledger candidates found with close scores: [SYNTH-LEDGER-000764 (score 0.747)]. Top candidate reference 'UPI375833' has similarity 0.67.,252.87,7839.0,1.0,0.6667,False,WRONG_EXCEPTION_TYPE
SYNTH-CASE-000523,SYNTH-BANK-000523,,UNMATCHED_BANK,AMBIGUOUS,MISSING_LEDGER,AMBIGUOUS_LOW_CONFIDENCE,0.7252,Ambiguous match: Competing ledger candidates found with close scores: [SYNTH-LEDGER-000781 (score 0.725)]. Top candidate reference 'UPI624295' has similarity 0.44.,18.39,4502.0,1.0,0.4444,False,WRONG_EXCEPTION_TYPE
SYNTH-CASE-000536,SYNTH-BANK-000536,SYNTH-LEDGER-000536,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI717193', amount (₹3582.10), and direction (CREDIT) matched exactly after normalization with timestamp diff of 4.0 mins.",0.0,4.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000539,SYNTH-BANK-000539,SYNTH-LEDGER-000539,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI895009', amount (₹299.03), and direction (CREDIT) matched exactly after normalization with timestamp diff of 15.0 mins.",0.0,15.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000542,SYNTH-BANK-000542,SYNTH-LEDGER-000542,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9495,Fuzzy candidate match (score: 0.950) with amount mismatch: Bank amount ₹5467.95 vs ledger amount ₹5577.31 (diff ₹109.36 / 1.96%).,109.36,13.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000553,SYNTH-BANK-000553,SYNTH-LEDGER-000553,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI382299', amount (₹432.38), and direction (CREDIT) matched exactly after normalization with timestamp diff of 0.0 mins.",0.0,0.0,1.0,1.0,False,FALSE_MATCH
SYNTH-CASE-000561,SYNTH-BANK-000561,SYNTH-LEDGER-000561,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9495,Fuzzy candidate match (score: 0.950) with amount mismatch: Bank amount ₹973.98 vs ledger amount ₹954.50 (diff ₹19.48 / 2.04%).,19.48,4.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000562,SYNTH-BANK-000562,SYNTH-LEDGER-000562,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9497,Fuzzy candidate match (score: 0.950) with amount mismatch: Bank amount ₹1274.78 vs ledger amount ₹1300.28 (diff ₹25.50 / 1.96%).,25.5,2.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000566,SYNTH-BANK-000566,,UNMATCHED_BANK,AMBIGUOUS,MISSING_LEDGER,AMBIGUOUS_MULTI_CANDIDATE,0.745,"Ambiguous match: Competing ledger candidates found with close scores: [SYNTH-LEDGER-000912 (score 0.745), SYNTH-LEDGER-000890 (score 0.743)]. Top candidate reference 'UPI482874' has similarity 0.67.",269.61,6620.0,1.0,0.6667,False,WRONG_EXCEPTION_TYPE
SYNTH-CASE-000571,SYNTH-BANK-000571,SYNTH-LEDGER-000571,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9496,Fuzzy candidate match (score: 0.950) with amount mismatch: Bank amount ₹747.11 vs ledger amount ₹762.05 (diff ₹14.94 / 1.96%).,14.94,3.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000587,SYNTH-BANK-000587,SYNTH-LEDGER-000587,AMBIGUOUS,AMOUNT_MISMATCH,AMBIGUOUS,FUZZY_AMOUNT_MISMATCH,0.9494,Fuzzy candidate match (score: 0.949) with amount mismatch: Bank amount ₹1144.78 vs ledger amount ₹1121.88 (diff ₹22.90 / 2.04%).,22.9,12.0,1.0,0.8889,False,AMBIGUOUSNESS_ERROR
SYNTH-CASE-000599,SYNTH-BANK-000599,SYNTH-LEDGER-000599,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI216511', amount (₹1830.27), and direction (CREDIT) matched exactly after normalization with timestamp diff of 9.0 mins.",0.0,9.0,1.0,1.0,False,FALSE_MATCH
