case_id,bank_txn_id,ledger_id,true_status,predicted_status,true_exception_type,match_method,match_confidence,reason,amount_difference,timestamp_difference,merchant_similarity,reference_similarity,has_duplicate_submission,duplicate_of_bank_txn_id,is_correct,error_classification
SYNTH-CASE-000224,SYNTH-BANK-000224,SYNTH-LEDGER-000224,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI876292', amount (₹683.74), and direction (CREDIT) matched exactly after normalization with timestamp diff of 2.0 mins. [Companion duplicate submission recorded]",0.0,2.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000237,SYNTH-BANK-000237,SYNTH-LEDGER-000237,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI521067', amount (₹1912.71), and direction (DEBIT) matched exactly after normalization with timestamp diff of 13.0 mins. [Companion duplicate submission recorded]",0.0,13.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000283,SYNTH-BANK-000283,SYNTH-LEDGER-000283,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI511070', amount (₹1159.69), and direction (CREDIT) matched exactly after normalization with timestamp diff of 2.0 mins. [Companion duplicate submission recorded]",0.0,2.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000286,SYNTH-BANK-000286,SYNTH-LEDGER-000286,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI344023', amount (₹248.56), and direction (CREDIT) matched exactly after normalization with timestamp diff of 3.0 mins. [Companion duplicate submission recorded]",0.0,3.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000303,SYNTH-BANK-000303,SYNTH-LEDGER-000303,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI314906', amount (₹650.33), and direction (CREDIT) matched exactly after normalization with timestamp diff of 5.0 mins. [Companion duplicate submission recorded]",0.0,5.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000305,SYNTH-BANK-000305,SYNTH-LEDGER-000305,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI887364', amount (₹2009.90), and direction (DEBIT) matched exactly after normalization with timestamp diff of 6.0 mins. [Companion duplicate submission recorded]",0.0,6.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000361,SYNTH-BANK-000361,SYNTH-LEDGER-000361,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI217761', amount (₹223.17), and direction (CREDIT) matched exactly after normalization with timestamp diff of 12.0 mins. [Companion duplicate submission recorded]",0.0,12.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000366,SYNTH-BANK-000366,SYNTH-LEDGER-000366,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI768900', amount (₹730.25), and direction (CREDIT) matched exactly after normalization with timestamp diff of 7.0 mins. [Companion duplicate submission recorded]",0.0,7.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000386,SYNTH-BANK-000386,SYNTH-LEDGER-000386,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI774562', amount (₹437.75), and direction (CREDIT) matched exactly after normalization with timestamp diff of 2.0 mins. [Companion duplicate submission recorded]",0.0,2.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000392,SYNTH-BANK-000392,SYNTH-LEDGER-000392,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI578085', amount (₹2218.67), and direction (CREDIT) matched exactly after normalization with timestamp diff of 15.0 mins. [Companion duplicate submission recorded]",0.0,15.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000396,SYNTH-BANK-000396,,UNMATCHED_BANK,AMBIGUOUS,MISSING_LEDGER,AMBIGUOUS_FUZZY_DISCREPANCY,0.7934,"Ambiguous match (fuzzy discrepancy): Top candidate SYNTH-LEDGER-001004 (ref 'UPI676573', similarity 0.56) has differing amount ₹823.87 (diff ₹39.37).",39.37,1464.0,1.0,0.5556,False,,False,WRONG_EXCEPTION_TYPE
SYNTH-CASE-000400,SYNTH-BANK-000400,SYNTH-LEDGER-000400,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI739421', amount (₹1842.67), and direction (CREDIT) matched exactly after normalization with timestamp diff of 8.0 mins. [Companion duplicate submission recorded]",0.0,8.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000423,SYNTH-BANK-000423,SYNTH-LEDGER-000423,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI863372', amount (₹1583.44), and direction (DEBIT) matched exactly after normalization with timestamp diff of 4.0 mins. [Companion duplicate submission recorded]",0.0,4.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000430,SYNTH-BANK-000430,SYNTH-LEDGER-000430,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI189938', amount (₹710.81), and direction (CREDIT) matched exactly after normalization with timestamp diff of 4.0 mins. [Companion duplicate submission recorded]",0.0,4.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000432,SYNTH-BANK-000432,SYNTH-LEDGER-000432,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI606668', amount (₹753.96), and direction (CREDIT) matched exactly after normalization with timestamp diff of 2.0 mins. [Companion duplicate submission recorded]",0.0,2.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000440,SYNTH-BANK-000440,SYNTH-LEDGER-000440,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI738933', amount (₹876.88), and direction (DEBIT) matched exactly after normalization with timestamp diff of 1.0 mins. [Companion duplicate submission recorded]",0.0,1.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000452,SYNTH-BANK-000452,SYNTH-LEDGER-000452,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI862185', amount (₹1379.47), and direction (DEBIT) matched exactly after normalization with timestamp diff of 13.0 mins. [Companion duplicate submission recorded]",0.0,13.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000478,SYNTH-BANK-000478,,UNMATCHED_BANK,AMBIGUOUS,MISSING_LEDGER,AMBIGUOUS_FUZZY_DISCREPANCY,0.8437,"Ambiguous match (fuzzy discrepancy): Top candidate SYNTH-LEDGER-001897 (ref 'UPI535460', similarity 0.67) has differing amount ₹1384.45 (diff ₹26.06).",26.06,1752.0,1.0,0.6667,False,,False,WRONG_EXCEPTION_TYPE
SYNTH-CASE-000508,SYNTH-BANK-000508,SYNTH-LEDGER-000508,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI376096', amount (₹1283.32), and direction (CREDIT) matched exactly after normalization with timestamp diff of 0.0 mins. [Companion duplicate submission recorded]",0.0,0.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000510,SYNTH-BANK-000510,SYNTH-LEDGER-000510,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI331008', amount (₹2547.03), and direction (CREDIT) matched exactly after normalization with timestamp diff of 4.0 mins. [Companion duplicate submission recorded]",0.0,4.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000523,SYNTH-BANK-000523,,UNMATCHED_BANK,AMBIGUOUS,MISSING_LEDGER,AMBIGUOUS_FUZZY_DISCREPANCY,0.7252,"Ambiguous match (fuzzy discrepancy): Top candidate SYNTH-LEDGER-000781 (ref 'UPI624295', similarity 0.44) has differing amount ₹696.58 (diff ₹18.39).",18.39,4502.0,1.0,0.4444,False,,False,WRONG_EXCEPTION_TYPE
SYNTH-CASE-000536,SYNTH-BANK-000536,SYNTH-LEDGER-000536,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI717193', amount (₹3582.10), and direction (CREDIT) matched exactly after normalization with timestamp diff of 4.0 mins. [Companion duplicate submission recorded]",0.0,4.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000539,SYNTH-BANK-000539,SYNTH-LEDGER-000539,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI895009', amount (₹299.03), and direction (CREDIT) matched exactly after normalization with timestamp diff of 15.0 mins. [Companion duplicate submission recorded]",0.0,15.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000553,SYNTH-BANK-000553,SYNTH-LEDGER-000553,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI382299', amount (₹432.38), and direction (CREDIT) matched exactly after normalization with timestamp diff of 0.0 mins. [Companion duplicate submission recorded]",0.0,0.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000599,SYNTH-BANK-000599,SYNTH-LEDGER-000599,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI216511', amount (₹1830.27), and direction (CREDIT) matched exactly after normalization with timestamp diff of 9.0 mins. [Companion duplicate submission recorded]",0.0,9.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000605,SYNTH-BANK-000605,SYNTH-LEDGER-000605,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI220742', amount (₹543.38), and direction (CREDIT) matched exactly after normalization with timestamp diff of 5.0 mins. [Companion duplicate submission recorded]",0.0,5.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000635,SYNTH-BANK-000635,SYNTH-LEDGER-000635,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI405645', amount (₹943.26), and direction (CREDIT) matched exactly after normalization with timestamp diff of 11.0 mins. [Companion duplicate submission recorded]",0.0,11.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000664,SYNTH-BANK-000664,SYNTH-LEDGER-000664,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI671831', amount (₹1024.28), and direction (CREDIT) matched exactly after normalization with timestamp diff of 11.0 mins. [Companion duplicate submission recorded]",0.0,11.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000702,SYNTH-BANK-000702,SYNTH-LEDGER-000702,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI117480', amount (₹860.53), and direction (CREDIT) matched exactly after normalization with timestamp diff of 14.0 mins. [Companion duplicate submission recorded]",0.0,14.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000717,SYNTH-BANK-000717,SYNTH-LEDGER-000717,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI906006', amount (₹767.24), and direction (DEBIT) matched exactly after normalization with timestamp diff of 0.0 mins. [Companion duplicate submission recorded]",0.0,0.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000721,SYNTH-BANK-000721,SYNTH-LEDGER-000721,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI394617', amount (₹5159.78), and direction (CREDIT) matched exactly after normalization with timestamp diff of 11.0 mins. [Companion duplicate submission recorded]",0.0,11.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000780,SYNTH-BANK-000780,SYNTH-LEDGER-000780,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI303073', amount (₹1605.98), and direction (CREDIT) matched exactly after normalization with timestamp diff of 7.0 mins. [Companion duplicate submission recorded]",0.0,7.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000809,SYNTH-BANK-000809,SYNTH-LEDGER-000809,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI919435', amount (₹1450.14), and direction (CREDIT) matched exactly after normalization with timestamp diff of 2.0 mins. [Companion duplicate submission recorded]",0.0,2.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000881,SYNTH-BANK-000881,SYNTH-LEDGER-000881,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI501335', amount (₹1184.04), and direction (CREDIT) matched exactly after normalization with timestamp diff of 9.0 mins. [Companion duplicate submission recorded]",0.0,9.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000913,SYNTH-BANK-000913,SYNTH-LEDGER-000913,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI456452', amount (₹1760.98), and direction (DEBIT) matched exactly after normalization with timestamp diff of 4.0 mins. [Companion duplicate submission recorded]",0.0,4.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000915,SYNTH-BANK-000915,SYNTH-LEDGER-000915,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI137037', amount (₹1017.75), and direction (CREDIT) matched exactly after normalization with timestamp diff of 14.0 mins. [Companion duplicate submission recorded]",0.0,14.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000934,SYNTH-BANK-000934,SYNTH-LEDGER-000934,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI552201', amount (₹1599.15), and direction (CREDIT) matched exactly after normalization with timestamp diff of 12.0 mins. [Companion duplicate submission recorded]",0.0,12.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000935,SYNTH-BANK-000935,SYNTH-LEDGER-000935,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI340883', amount (₹1594.93), and direction (CREDIT) matched exactly after normalization with timestamp diff of 7.0 mins. [Companion duplicate submission recorded]",0.0,7.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000961,SYNTH-BANK-000961,SYNTH-LEDGER-000961,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI937814', amount (₹1488.55), and direction (DEBIT) matched exactly after normalization with timestamp diff of 2.0 mins. [Companion duplicate submission recorded]",0.0,2.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-000969,SYNTH-BANK-000969,SYNTH-LEDGER-000969,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI333204', amount (₹718.12), and direction (CREDIT) matched exactly after normalization with timestamp diff of 14.0 mins. [Companion duplicate submission recorded]",0.0,14.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-001013,SYNTH-BANK-001013,SYNTH-LEDGER-001013,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI399754', amount (₹1107.29), and direction (DEBIT) matched exactly after normalization with timestamp diff of 11.0 mins. [Companion duplicate submission recorded]",0.0,11.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-001021,SYNTH-BANK-001021,SYNTH-LEDGER-001021,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI319211', amount (₹363.34), and direction (DEBIT) matched exactly after normalization with timestamp diff of 15.0 mins. [Companion duplicate submission recorded]",0.0,15.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-001060,SYNTH-BANK-001060,SYNTH-LEDGER-001060,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI686842', amount (₹1843.41), and direction (CREDIT) matched exactly after normalization with timestamp diff of 6.0 mins. [Companion duplicate submission recorded]",0.0,6.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-001062,SYNTH-BANK-001062,SYNTH-LEDGER-001062,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI167755', amount (₹900.62), and direction (CREDIT) matched exactly after normalization with timestamp diff of 13.0 mins. [Companion duplicate submission recorded]",0.0,13.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-001063,SYNTH-BANK-001063,SYNTH-LEDGER-001063,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI242459', amount (₹1029.55), and direction (CREDIT) matched exactly after normalization with timestamp diff of 2.0 mins. [Companion duplicate submission recorded]",0.0,2.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-001067,SYNTH-BANK-001067,SYNTH-LEDGER-001067,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI915887', amount (₹775.35), and direction (CREDIT) matched exactly after normalization with timestamp diff of 6.0 mins. [Companion duplicate submission recorded]",0.0,6.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-001080,SYNTH-BANK-001080,SYNTH-LEDGER-001080,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI515211', amount (₹2922.65), and direction (DEBIT) matched exactly after normalization with timestamp diff of 14.0 mins. [Companion duplicate submission recorded]",0.0,14.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-001115,SYNTH-BANK-001115,SYNTH-LEDGER-001115,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI736981', amount (₹5942.87), and direction (CREDIT) matched exactly after normalization with timestamp diff of 8.0 mins. [Companion duplicate submission recorded]",0.0,8.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-001133,SYNTH-BANK-001133,SYNTH-LEDGER-001133,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI266262', amount (₹1667.68), and direction (DEBIT) matched exactly after normalization with timestamp diff of 3.0 mins. [Companion duplicate submission recorded]",0.0,3.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-001158,SYNTH-BANK-001158,SYNTH-LEDGER-001158,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI425985', amount (₹1403.29), and direction (CREDIT) matched exactly after normalization with timestamp diff of 1.0 mins. [Companion duplicate submission recorded]",0.0,1.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-001159,SYNTH-BANK-001159,SYNTH-LEDGER-001159,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI888152', amount (₹730.59), and direction (CREDIT) matched exactly after normalization with timestamp diff of 6.0 mins. [Companion duplicate submission recorded]",0.0,6.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-001167,SYNTH-BANK-001167,SYNTH-LEDGER-001167,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI573975', amount (₹1437.89), and direction (DEBIT) matched exactly after normalization with timestamp diff of 4.0 mins. [Companion duplicate submission recorded]",0.0,4.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-001195,SYNTH-BANK-001195,SYNTH-LEDGER-001195,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI551186', amount (₹565.04), and direction (CREDIT) matched exactly after normalization with timestamp diff of 4.0 mins. [Companion duplicate submission recorded]",0.0,4.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-001217,SYNTH-BANK-001217,SYNTH-LEDGER-001217,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI696364', amount (₹3154.87), and direction (CREDIT) matched exactly after normalization with timestamp diff of 9.0 mins. [Companion duplicate submission recorded]",0.0,9.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-001265,SYNTH-BANK-001265,SYNTH-LEDGER-001265,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI460647', amount (₹876.81), and direction (CREDIT) matched exactly after normalization with timestamp diff of 0.0 mins. [Companion duplicate submission recorded]",0.0,0.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-001270,SYNTH-BANK-001270,SYNTH-LEDGER-001270,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI639005', amount (₹2218.49), and direction (CREDIT) matched exactly after normalization with timestamp diff of 0.0 mins. [Companion duplicate submission recorded]",0.0,0.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-001306,SYNTH-BANK-001306,SYNTH-LEDGER-001306,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI631485', amount (₹812.61), and direction (DEBIT) matched exactly after normalization with timestamp diff of 4.0 mins. [Companion duplicate submission recorded]",0.0,4.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-001311,SYNTH-BANK-001311,SYNTH-LEDGER-001311,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI510312', amount (₹563.86), and direction (CREDIT) matched exactly after normalization with timestamp diff of 2.0 mins. [Companion duplicate submission recorded]",0.0,2.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-001313,SYNTH-BANK-001313,SYNTH-LEDGER-001313,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI117251', amount (₹966.04), and direction (CREDIT) matched exactly after normalization with timestamp diff of 1.0 mins. [Companion duplicate submission recorded]",0.0,1.0,1.0,1.0,True,,False,FALSE_MATCH
SYNTH-CASE-001337,SYNTH-BANK-001337,SYNTH-LEDGER-001337,DUPLICATE,MATCH,DUPLICATE,EXACT_REFERENCE_AMOUNT,1.0,"Reference 'UPI479816', amount (₹3581.07), and direction (DEBIT) matched exactly after normalization with timestamp diff of 4.0 mins. [Companion duplicate submission recorded]",0.0,4.0,1.0,1.0,True,,False,FALSE_MATCH
